Auditing Related Day Fields (Days 1-60)...
------------------------------------------------------------
Found issues in 198 files:
[Day 1] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0001-two-sum.md
[Day 1] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0001-recommendation-system.md
[Day 1] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0001-streaming-asr.md
[Day 2] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0002-valid-parentheses.md
[Day 2] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0002-classification-pipeline.md
[Day 2] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0002-speech-classification.md
[Day 3] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0003-merge-sorted-lists.md
[Day 3] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0003-data-preprocessing.md
[Day 3] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0003-audio-feature-extraction.md
[Day 4] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0004-best-time-buy-sell-stock.md
[Day 4] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0004-ab-testing-systems.md
[Day 4] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0004-voice-activity-detection.md
[Day 5] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0005-maximum-subarray.md
[Day 5] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0005-batch-realtime-inference.md
[Day 5] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0005-speaker-recognition.md
[Day 6] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0006-climbing-stairs.md
[Day 6] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0006-model-evaluation-metrics.md
[Day 6] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0006-text-to-speech-basics.md
[Day 7] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0007-binary-tree-traversal.md
[Day 7] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0007-feature-engineering.md
[Day 7] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0007-audio-preprocessing.md
[Day 8] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0008-validate-binary-search-tree.md
[Day 8] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0008-model-serving-architecture.md
[Day 8] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0008-streaming-speech-pipeline.md
[Day 9] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0009-binary-search.md
[Day 9] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0009-online-learning-systems.md
[Day 9] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0009-keyword-spotting.md
[Day 10] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0010-reverse-linked-list.md
[Day 10] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0010-caching-strategies.md
[Day 10] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0010-voice-enhancement.md
[Day 11] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0011-lru-cache.md
[Day 11] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0011-content-delivery-network.md
[Day 11] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0011-speech-separation.md
[Day 12] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0012-add-two-numbers.md
[Day 12] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0012-distributed-systems.md
[Day 12] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0012-multi-speaker-asr.md
[Day 13] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0013-container-with-most-water.md
[Day 13] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0013-resource-allocation-for-ml.md
[Day 13] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0013-compute-allocation-for-speech-models.md
[Day 14] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0014-generate-parentheses.md
[Day 14] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0014-model-ensembling.md
[Day 14] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0014-multi-model-speech-ensemble.md
[Day 15] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0015-group-anagrams.md
[Day 15] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0015-clustering-systems.md
[Day 15] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0015-speaker-clustering-diarization.md
[Day 16] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0016-merge-intervals.md
[Day 16] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0016-event-stream-processing.md
[Day 16] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0016-real-time-audio-segmentation.md
[Day 17] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0017-add-two-numbers-linked-list.md
[Day 17] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0017-distributed-training-architecture.md
[Day 17] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0017-distributed-speech-training.md
[Day 18] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0018-rotate-image.md
[Day 18] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0018-data-augmentation-pipeline.md
[Day 18] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0018-audio-augmentation-techniques.md
[Day 19] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0019-spiral-matrix.md
[Day 19] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0019-experiment-tracking-systems.md
[Day 19] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0019-speech-experiment-management.md
[Day 19] [_ai_agents] Missing {'related_speech_day', 'related_dsa_day', 'related_ml_day'} in 0019-voice-activity-detection.md
[Day 20] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0020-jump-game.md
[Day 20] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0020-online-learning-systems.md
[Day 20] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0020-adaptive-speech-models.md
[Day 20] [_ai_agents] Missing {'related_speech_day', 'related_dsa_day', 'related_ml_day'} in 0020-speech-to-speech-agents.md
[Day 21] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0021-unique-paths.md
[Day 21] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0021-neural-architecture-search.md
[Day 21] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0021-speech-architecture-search.md
[Day 21] [_ai_agents] Missing {'related_speech_day', 'related_dsa_day', 'related_ml_day'} in 0021-vision-agent-fundamentals.md
[Day 22] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0022-minimum-path-sum.md
[Day 22] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0022-cost-optimization-for-ml.md
[Day 22] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0022-cost-efficient-speech-systems.md
[Day 22] [_ai_agents] Missing {'related_speech_day', 'related_dsa_day', 'related_ml_day'} in 0022-screenshot-understanding-agents.md
[Day 23] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0023-decode-ways.md
[Day 23] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0023-beam-search-decoding.md
[Day 23] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0023-asr-beam-search-implementation.md
[Day 23] [_ai_agents] Missing {'related_speech_day', 'related_dsa_day', 'related_ml_day'} in 0023-ui-automation-agents.md
[Day 24] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0024-word-break.md
[Day 24] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0024-tokenization-systems.md
[Day 24] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0024-speech-tokenization.md
[Day 24] [_ai_agents] Missing {'related_speech_day', 'related_dsa_day', 'related_ml_day'} in 0024-computer-use-agents.md
[Day 25] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0025-validate-bst.md
[Day 25] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0025-model-monitoring-systems.md
[Day 25] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0025-speech-quality-monitoring.md
[Day 25] [_ai_agents] Missing {'related_speech_day', 'related_dsa_day', 'related_ml_day'} in 0025-human-in-the-loop-patterns.md
[Day 26] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0026-level-order-traversal.md
[Day 26] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0026-batch-processing-pipelines.md
[Day 26] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0026-batch-speech-processing.md
[Day 26] [_ai_agents] Missing {'related_speech_day', 'related_dsa_day', 'related_ml_day'} in 0026-tool-design-principles.md
[Day 27] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0027-construct-binary-tree.md
[Day 27] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0027-model-architecture-design.md
[Day 27] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0027-end-to-end-speech-model-design.md
[Day 27] [_ai_agents] Missing {'related_speech_day', 'related_dsa_day', 'related_ml_day'} in 0027-api-integration-patterns.md
[Day 28] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0028-kth-smallest-in-bst.md
[Day 28] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0028-ranking-systems-at-scale.md
[Day 28] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0028-voice-search-ranking.md
[Day 28] [_ai_agents] Missing {'related_speech_day', 'related_dsa_day', 'related_ml_day'} in 0028-database-interaction-agents.md
[Day 29] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0029-lowest-common-ancestor.md
[Day 29] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0029-hierarchical-classification.md
[Day 29] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0029-hierarchical-speech-classification.md
[Day 29] [_ai_agents] Missing {'related_speech_day', 'related_dsa_day', 'related_ml_day'} in 0029-multi-agent-architectures.md
[Day 30] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0030-number-of-islands.md
[Day 30] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0030-graph-based-recommendations.md
[Day 30] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0030-social-voice-networks.md
[Day 30] [_ai_agents] Missing {'related_speech_day', 'related_dsa_day', 'related_ml_day'} in 0030-agent-communication-protocols.md
[Day 31] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0031-course-schedule.md
[Day 31] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0031-ml-pipeline-dependencies.md
[Day 31] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0031-speech-pipeline-orchestration.md
[Day 31] [_ai_agents] Missing {'related_speech_day', 'related_dsa_day', 'related_ml_day'} in 0031-role-based-agent-design.md
[Day 32] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0032-word-ladder.md
[Day 32] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0032-semantic-search-systems.md
[Day 32] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0032-phonetic-search.md
[Day 32] [_ai_agents] Missing {'related_speech_day', 'related_dsa_day', 'related_ml_day'} in 0032-state-management-checkpoints.md
[Day 33] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0033-clone-graph.md
[Day 33] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0033-model-replication-systems.md
[Day 33] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0033-multi-region-speech-deployment.md
[Day 33] [_ai_agents] Missing {'related_speech_day', 'related_dsa_day', 'related_ml_day'} in 0033-error-handling-recovery.md
[Day 34] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0034-evaluate-division.md
[Day 34] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0034-knowledge-graph-systems.md
[Day 34] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0034-dialog-state-tracking.md
[Day 34] [_ai_agents] Missing {'related_speech_day', 'related_dsa_day', 'related_ml_day'} in 0034-observability-tracing.md
[Day 35] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0035-surrounded-regions.md
[Day 35] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0035-boundary-detection-in-ml.md
[Day 35] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0035-speech-boundary-detection.md
[Day 35] [_ai_agents] Missing {'related_speech_day', 'related_dsa_day', 'related_ml_day'} in 0035-structured-output-patterns.md
[Day 36] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0036-partition-equal-subset-sum.md
[Day 36] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0036-resource-partitioning.md
[Day 36] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0036-multi-task-speech-learning.md
[Day 36] [_ai_agents] Missing {'related_speech_day', 'related_dsa_day', 'related_ml_day'} in 0036-web-browsing-agents.md
[Day 37] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0037-longest-increasing-subsequence.md
[Day 37] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0037-sequence-modeling.md
[Day 37] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0037-sequence-to-sequence-speech.md
[Day 37] [_ai_agents] Missing {'related_speech_day', 'related_dsa_day', 'related_ml_day'} in 0037-code-execution-agents.md
[Day 38] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0038-coin-change.md
[Day 38] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0038-hyperparameter-optimization.md
[Day 38] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0038-speech-hyperparameter-tuning.md
[Day 38] [_ai_agents] Missing {'related_speech_day', 'related_dsa_day', 'related_ml_day'} in 0038-autonomous-agent-architectures.md
[Day 39] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0039-word-break.md
[Day 39] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0039-model-interpretability.md
[Day 39] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0039-end-to-end-tts.md
[Day 39] [_ai_agents] Missing {'related_speech_day', 'related_dsa_day', 'related_ml_day'} in 0039-self-reflection-and-critique.md
[Day 40] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0040-trapping-rain-water.md
[Day 40] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0040-distributed-training.md
[Day 40] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0040-wake-word-detection.md
[Day 40] [_ai_agents] Missing {'related_speech_day', 'related_dsa_day', 'related_ml_day'} in 0040-hierarchical-planning.md
[Day 41] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0041-jump-game-ii.md
[Day 41] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0041-model-compression.md
[Day 41] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0041-speaker-diarization.md
[Day 41] [_ai_agents] Missing {'related_speech_day', 'related_dsa_day', 'related_ml_day'} in 0041-world-models-for-agents.md
[Day 42] [_dsa] Missing {'related_agents_day', 'related_speech_day', 'related_ml_day'} in 0042-merge-k-sorted-lists.md
[Day 42] [_ml_system_design] Missing {'related_agents_day', 'related_speech_day', 'related_dsa_day'} in 0042-feature-stores.md
[Day 42] [_speech_tech] Missing {'related_agents_day', 'related_dsa_day', 'related_ml_day'} in 0042-asr-decoding.md
